"","x"
"244",272.077464437495
"245",82.1938523641925
"246",462.818332311002
"247",308.710424575085
"248",25.5262727733235
"249",400.447363418139
"250",583.691641323963
"251",248.451495874458
"252",21.2759206538404
"253",391.522228939282
"254",265.469336042159
"255",443.794208611261
"256",625.144166556886
"257",390.064791675309
"258",532.11976609897
"259",513.357678534953
"260",231.092941796613
"261",530.903096784081
"262",160.941075527072
"263",612.975320724376
"264",101.690900814564
"265",874.702705685163
"266",308.38401095822
"267",117.668960043187
"268",175.711201609773
"269",437.939004477356
"270",722.218336292115
"271",429.832422870257
"272",454.603573094503
"273",400.178436939032
"274",400.940619390786
"275",423.681689418889
"276",359.840913837026
"277",456.056518306972
"278",171.040001590558
"279",388.11536674313
"280",535.298907883325
"281",547.115617852666
"282",176.490848794982
"283",376.420532981586
"284",241.98734725955
"285",152.975643197902
"286",320.823154225552
"287",363.914433764178
"288",388.838272404357
"289",706.160603189455
"290",464.516480713359
"291",280.93698616833
"292",187.509778997053
"293",62.9766073621592
"294",462.943499692929
"295",107.032837294118
"296",380.837353274467
"297",420.871588582427
"298",353.602013529359
"299",114.075864221499
"300",268.935675865359
"301",652.116711762884
"302",451.982434384349
"303",665.470829840103
"304",101.721359815772
"305",212.768817601714
"306",201.296250810977
"307",244.767923634878
"308",185.891750402867
"309",351.553142515305
"310",278.443827596929
"311",496.655492920669
"312",600.966211763287
"313",185.606416943058
"314",219.428374652135
"315",454.502132122855
"316",451.083636234803
"317",303.131487837862
"318",580.550038512556
"319",158.697789689971
"320",443.046914757252
"321",450.500127922455
"322",558.423039648151
"323",720.107677110552
"324",633.24303956632
"325",518.163704997748
"326",354.528416310955
"327",554.741207883868
"328",166.12528417366
"329",391.954963196663
"330",725.11404912804
"331",465.983403735433
"332",411.523899788613
"333",579.157262227655
"334",480.412802214869
"335",719.690496036138
"336",791.314655315672
"337",674.998865530833
"338",309.250758697487
"339",424.922587957731
